Row ID,Order ID,Order Date,Ship Mode,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
27,CA-2016-121755,2016-01-16,Second Class,Consumer,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.77
28,US-2015-150630,2015-09-17,Standard Class,Consumer,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.05
29,US-2015-150630,2015-09-17,Standard Class,Consumer,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.05
30,US-2015-150630,2015-09-17,Standard Class,Consumer,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,3,0.2,15.53
31,US-2015-150630,2015-09-17,Standard Class,Consumer,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2,0.2,1.10
32,US-2015-150630,2015-09-17,Standard Class,Consumer,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6,0.2,9.71
33,US-2015-150630,2015-09-17,Standard Class,Consumer,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,0.7,-5.72
34,US-2015-150630,2015-09-17,Standard Class,Consumer,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.55
35,CA-2017-107727,2017-10-19,Second Class,Home Office,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3,0.2,9.95
36,CA-2016-117590,2016-12-08,First Class,Corporate,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47
37,CA-2016-117590,2016-12-08,First Class,Corporate,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96
38,CA-2015-117415,2015-12-27,Standard Class,Home Office,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.42
39,CA-2015-117415,2015-12-27,Standard Class,Home Office,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3,0.32,-46.98
40,CA-2015-117415,2015-12-27,Standard Class,Home Office,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.15
41,CA-2015-117415,2015-12-27,Standard Class,Home Office,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.76
42,CA-2017-120999,2017-09-10,Standard Class,Corporate,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4,0.2,16.56
43,CA-2016-101343,2016-07-17,Standard Class,Corporate,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.89
44,CA-2017-139619,2017-09-19,Standard Class,Corporate,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56
45,CA-2016-118255,2016-03-11,First Class,Corporate,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.77
46,CA-2016-118255,2016-03-11,First Class,Corporate,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21
47,CA-2014-146703,2014-10-20,Second Class,Consumer,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.48
48,CA-2016-169194,2016-06-20,Standard Class,Consumer,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3,0,4.95
49,CA-2016-169194,2016-06-20,Standard Class,Consumer,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2,0,6.10
50,CA-2015-115742,2015-04-18,Standard Class,Consumer,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.96
51,CA-2015-115742,2015-04-18,Standard Class,Consumer,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.33
52,CA-2015-115742,2015-04-18,Standard Class,Consumer,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.96
53,CA-2015-115742,2015-04-18,Standard Class,Consumer,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.10
54,CA-2016-105816,2016-12-11,Standard Class,Corporate,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.26
55,CA-2016-105816,2016-12-11,Standard Class,Corporate,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.69
56,CA-2016-111682,2016-06-17,First Class,Consumer,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,CA-2016-111682,2016-06-17,First Class,Consumer,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,5,0,15.55
58,CA-2016-111682,2016-06-17,First Class,Consumer,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.10
59,CA-2016-111682,2016-06-17,First Class,Consumer,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.99
60,CA-2016-111682,2016-06-17,First Class,Consumer,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2,0,3.30
61,CA-2016-111682,2016-06-17,First Class,Consumer,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.36
62,CA-2016-111682,2016-06-17,First Class,Consumer,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,CA-2015-135545,2015-11-24,Standard Class,Consumer,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.15
64,CA-2015-135545,2015-11-24,Standard Class,Consumer,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.2,9.36
65,CA-2015-135545,2015-11-24,Standard Class,Consumer,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.96
66,CA-2015-135545,2015-11-24,Standard Class,Consumer,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.33
67,US-2015-164175,2015-04-30,Standard Class,Home Office,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.22
68,CA-2014-106376,2014-12-05,Standard Class,Corporate,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.30
69,CA-2014-106376,2014-12-05,Standard Class,Corporate,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99
70,CA-2016-119823,2016-06-04,First Class,Consumer,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.66
71,CA-2016-106075,2016-09-18,Standard Class,Consumer,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.73
72,CA-2017-114440,2017-09-14,Second Class,Consumer,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.76
73,US-2015-134026,2015-04-26,Standard Class,Consumer,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8,0.2,-114.39
74,US-2015-134026,2015-04-26,Standard Class,Consumer,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.21
75,US-2015-134026,2015-04-26,Standard Class,Consumer,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.20
76,US-2017-118038,2017-12-09,First Class,Corporate,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3,0.8,-1.93
77,US-2017-118038,2017-12-09,First Class,Corporate,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3,0.6,-5.82
78,US-2017-118038,2017-12-09,First Class,Corporate,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.72
79,US-2014-147606,2014-11-26,Second Class,Consumer,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5,0.6,-14.48
80,CA-2016-127208,2016-06-12,First Class,Corporate,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.20
81,CA-2016-127208,2016-06-12,First Class,Corporate,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.04
82,CA-2014-139451,2014-10-12,Standard Class,Consumer,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5,0,4.17
83,CA-2014-139451,2014-10-12,Standard Class,Consumer,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.20
84,CA-2015-149734,2015-09-03,Standard Class,Corporate,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81
85,US-2017-119662,2017-11-13,First Class,Home Office,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95
86,CA-2017-140088,2017-05-28,Second Class,Consumer,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.22
87,CA-2017-155558,2017-10-26,Standard Class,Consumer,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.80
88,CA-2017-155558,2017-10-26,Standard Class,Consumer,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.96
89,CA-2016-159695,2016-04-05,Second Class,Home Office,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,13.86
90,CA-2016-109806,2016-09-17,Standard Class,Corporate,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3,0,6.63
91,CA-2016-109806,2016-09-17,Standard Class,Corporate,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2,0.2,8.28
92,CA-2016-109806,2016-09-17,Standard Class,Corporate,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.11
93,CA-2015-149587,2015-01-31,Second Class,Consumer,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.22
94,CA-2015-149587,2015-01-31,Second Class,Consumer,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.54
95,CA-2015-149587,2015-01-31,Second Class,Consumer,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.15
96,US-2017-109484,2017-11-06,Standard Class,Home Office,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,0.7,-3.79
97,CA-2017-161018,2017-11-09,Second Class,Home Office,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.54
98,CA-2017-157833,2017-06-17,First Class,Consumer,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3,0.2,17.96
99,CA-2016-149223,2016-09-06,Standard Class,Corporate,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.59
100,CA-2016-158568,2016-08-29,Standard Class,Home Office,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7,0.2,22.62
101,CA-2016-158568,2016-08-29,Standard Class,Home Office,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.2,-10.80
